"IME"	"spol"	"Num1992"	"Num1993"	"Num1994"	"Num1995"	"Num1996"	"Num1997"	"Num1998"	"Num1999"	"Num2000"	"Num2001"	"Num2002"	"Num2003"	"Num2004"	"Num2005"	"Num2006"	"Num2007"	"Num2008"	"Num2009"	"Num2010"	"Num2011"	"Num2012"	"Num2013"	"Num2014"	"Num2015"	"Num2016"	"Num2017"	"Num2018"	"Num2019"
"Adam"	"M"	"-"	"12"	"8"	"7"	"-"	"-"	"11"	"9"	"13"	"10"	"9"	"13"	"7"	"7"	"12"	"21"	"22"	"17"	"23"	"25"	"36"	"36"	"51"	"29"	"65"	"57"	"70"	"74"
"Adel"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"9"	"10"	"10"	"-"	"-"	"-"	"6"	"-"	"6"	"5"	"5"	"-"	"-"	"-"
"Adem"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7"	"-"	"-"	"-"	"-"
"Adi"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5"
"Adian"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6"	"-"	"9"	"14"	"10"	"11"	"12"	"12"	"11"
"Adijan"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7"	"-"	"-"	"-"
"Adin"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6"	"7"	"10"	"14"	"10"	"13"	"13"	"20"	"11"	"21"	"17"	"16"
"Adis"	"M"	"-"	"-"	"6"	"-"	"-"	"-"	"-"	"5"	"-"	"5"	"-"	"5"	"-"	"-"	"-"	"7"	"7"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"Adnan"	"M"	"7"	"-"	"8"	"8"	"8"	"-"	"-"	"5"	"7"	"-"	"6"	"-"	"6"	"6"	"-"	"6"	"-"	"8"	"12"	"12"	"-"	"-"	"7"	"-"	"-"	"-"	"-"	"-"
"Adrian"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"10"	"5"	"11"	"-"	"7"	"9"	"13"	"9"	"10"	"7"	"18"	"9"	"15"	"18"	"24"	"25"	"22"	"17"	"20"	"10"	"12"	"26"
"Adriano"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"Adrijan"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"10"	"14"	"-"	"8"	"-"	"5"	"-"	"-"	"7"	"7"	"-"	"6"	"-"	"7"	"-"	"7"	"6"	"7"	"5"	"7"	"-"	"8"
"Ahmed"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6"	"-"	"-"	"-"	"-"	"5"	"5"	"7"	"9"	"8"
"Aid"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8"	"-"	"-"	"5"	"-"	"6"
"Ajan"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"5"	"8"	"6"	"7"	"9"	"8"	"9"	"-"
"Ajdin"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"6"	"-"	"-"	"-"	"6"	"5"	"5"	"-"	"11"	"9"	"12"	"11"	"17"	"13"	"19"	"11"	"10"	"10"	"13"	"10"	"6"	"6"
"Ajlan"	"M"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"11"	"17"	"11"	"16"
