year	sex	name	n	prop
1992	M	Adam	0	0
1993	M	Adam	12	0.0012989824637367395
1994	M	Adam	8	8.94254415381176e-4
1995	M	Adam	7	7.996344528215673e-4
1996	M	Adam	0	0
1997	M	Adam	0	0
1998	M	Adam	11	0.0013416270276863033
1999	M	Adam	9	0.0011063306699446835
2000	M	Adam	13	0.0015463304389199478
2001	M	Adam	10	0.001239771881973717
2002	M	Adam	9	0.0011061946902654867
2003	M	Adam	13	0.0016598569969356485
2004	M	Adam	7	8.76533934385174e-4
2005	M	Adam	7	8.67195242814668e-4
2006	M	Adam	12	0.0014122631517006002
2007	M	Adam	21	0.00235320484087853
2008	M	Adam	22	0.0022601191699198686
2009	M	Adam	17	0.0017152658662092624
2010	M	Adam	23	0.002285600715492398
2011	M	Adam	25	0.00255780642520974
2012	M	Adam	36	0.0036686028737389176
2013	M	Adam	36	0.003883495145631068
2014	M	Adam	51	0.005442322057411162
2015	M	Adam	29	0.0032197179971133563
2016	M	Adam	65	0.007322293567646728
2017	M	Adam	57	0.006340378197997775
2018	M	Adam	70	0.008097165991902834
2019	M	Adam	74	0.00871716338791377
1992	M	Adel	0	0
1993	M	Adel	0	0
1994	M	Adel	0	0
1995	M	Adel	0	0
1996	M	Adel	0	0
1997	M	Adel	0	0
1998	M	Adel	0	0
1999	M	Adel	0	0
2000	M	Adel	0	0
2001	M	Adel	0	0
2002	M	Adel	0	0
2003	M	Adel	0	0
2004	M	Adel	0	0
2005	M	Adel	0	0
2006	M	Adel	9	0.00105919736377545
2007	M	Adel	10	0.0011205737337516809
2008	M	Adel	10	0.001027326895418122
2009	M	Adel	0	0
2010	M	Adel	0	0
2011	M	Adel	0	0
2012	M	Adel	6	6.114338122898196e-4
2013	M	Adel	0	0
2014	M	Adel	6	6.402731832248426e-4
2015	M	Adel	5	5.55123792605751e-4
2016	M	Adel	5	5.632533513574405e-4
2017	M	Adel	0	0
2018	M	Adel	0	0
2019	M	Adel	0	0
1992	M	Adem	0	0
1993	M	Adem	0	0
1994	M	Adem	0	0
1995	M	Adem	0	0
1996	M	Adem	0	0
1997	M	Adem	0	0
1998	M	Adem	0	0
1999	M	Adem	0	0
2000	M	Adem	0	0
2001	M	Adem	0	0
2002	M	Adem	0	0
2003	M	Adem	0	0
2004	M	Adem	0	0
2005	M	Adem	0	0
2006	M	Adem	0	0
2007	M	Adem	0	0
2008	M	Adem	0	0
2009	M	Adem	0	0
2010	M	Adem	0	0
2011	M	Adem	0	0
2012	M	Adem	0	0
2013	M	Adem	0	0
2014	M	Adem	0	0
2015	M	Adem	7	7.771733096480515e-4
2016	M	Adem	0	0
2017	M	Adem	0	0
2018	M	Adem	0	0
2019	M	Adem	0	0
1992	M	Adi	0	0
1993	M	Adi	0	0
1994	M	Adi	0	0
1995	M	Adi	0	0
1996	M	Adi	0	0
1997	M	Adi	0	0
1998	M	Adi	0	0
1999	M	Adi	0	0
2000	M	Adi	0	0
2001	M	Adi	0	0
2002	M	Adi	0	0
2003	M	Adi	0	0
2004	M	Adi	0	0
2005	M	Adi	0	0
2006	M	Adi	0	0
2007	M	Adi	0	0
2008	M	Adi	0	0
2009	M	Adi	0	0
2010	M	Adi	0	0
2011	M	Adi	0	0
2012	M	Adi	0	0
2013	M	Adi	0	0
2014	M	Adi	0	0
2015	M	Adi	0	0
2016	M	Adi	0	0
2017	M	Adi	0	0
2018	M	Adi	0	0
2019	M	Adi	5	5.889975262103899e-4
1992	M	Adian	0	0
1993	M	Adian	0	0
1994	M	Adian	0	0
1995	M	Adian	0	0
1996	M	Adian	0	0
1997	M	Adian	0	0
1998	M	Adian	0	0
1999	M	Adian	0	0
2000	M	Adian	0	0
2001	M	Adian	0	0
2002	M	Adian	0	0
2003	M	Adian	0	0
2004	M	Adian	0	0
2005	M	Adian	0	0
2006	M	Adian	0	0
2007	M	Adian	0	0
2008	M	Adian	0	0
2009	M	Adian	0	0
2010	M	Adian	0	0
2011	M	Adian	6	6.138735420503376e-4
2012	M	Adian	0	0
2013	M	Adian	9	9.70873786407767e-4
2014	M	Adian	14	0.001493970760857966
2015	M	Adian	10	0.001110247585211502
2016	M	Adian	11	0.0012391573729863693
2017	M	Adian	12	0.0013348164627363737
2018	M	Adian	12	0.0013880855986119144
2019	M	Adian	11	0.0012957945576628578
1992	M	Adijan	0	0
1993	M	Adijan	0	0
1994	M	Adijan	0	0
1995	M	Adijan	0	0
1996	M	Adijan	0	0
1997	M	Adijan	0	0
1998	M	Adijan	0	0
1999	M	Adijan	0	0
2000	M	Adijan	0	0
2001	M	Adijan	0	0
2002	M	Adijan	0	0
2003	M	Adijan	0	0
2004	M	Adijan	0	0
2005	M	Adijan	0	0
2006	M	Adijan	0	0
2007	M	Adijan	0	0
2008	M	Adijan	0	0
2009	M	Adijan	0	0
2010	M	Adijan	0	0
2011	M	Adijan	0	0
2012	M	Adijan	0	0
2013	M	Adijan	0	0
2014	M	Adijan	0	0
2015	M	Adijan	0	0
2016	M	Adijan	7	7.885546919004169e-4
2017	M	Adijan	0	0
2018	M	Adijan	0	0
2019	M	Adijan	0	0
1992	M	Adin	0	0
1993	M	Adin	0	0
1994	M	Adin	0	0
1995	M	Adin	0	0
1996	M	Adin	0	0
1997	M	Adin	0	0
1998	M	Adin	0	0
1999	M	Adin	0	0
2000	M	Adin	0	0
2001	M	Adin	0	0
2002	M	Adin	0	0
2003	M	Adin	0	0
2004	M	Adin	0	0
2005	M	Adin	0	0
2006	M	Adin	0	0
2007	M	Adin	0	0
2008	M	Adin	6	6.163961372508733e-4
2009	M	Adin	7	7.062859449096964e-4
2010	M	Adin	10	9.937394415184338e-4
2011	M	Adin	14	0.0014323715981174544
2012	M	Adin	10	0.0010190563538163661
2013	M	Adin	13	0.0014023732470334412
2014	M	Adin	13	0.0013872585636538256
2015	M	Adin	20	0.002220495170423004
2016	M	Adin	11	0.0012391573729863693
2017	M	Adin	21	0.0023359288097886542
2018	M	Adin	17	0.0019664545980335453
2019	M	Adin	16	0.0018847920838732477
1992	M	Adis	0	0
1993	M	Adis	0	0
1994	M	Adis	6	6.706908115358819e-4
1995	M	Adis	0	0
1996	M	Adis	0	0
1997	M	Adis	0	0
1998	M	Adis	0	0
1999	M	Adis	5	6.146281499692685e-4
2000	M	Adis	0	0
2001	M	Adis	5	6.198859409868585e-4
2002	M	Adis	0	0
2003	M	Adis	5	6.384065372829418e-4
2004	M	Adis	0	0
2005	M	Adis	0	0
2006	M	Adis	0	0
2007	M	Adis	7	7.844016136261766e-4
